# command: ./latency-many-threads --target remote --requesters 2 --chasers 128 --reps 11 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 11
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
# chasers: 128
# requesters: 2
# target: remote
# bank_aligned: 1
# warps_per_requester: 4
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz,chasers,warp
dsmem_loaded,3,0,1,128,16384,0,0,42,6,56236282,23384672,3432.3903,1427.2871,2.4048,128,2
dsmem_loaded,3,0,1,128,16384,0,0,42,6,56236282,23384672,3432.3903,1427.2871,2.4048,128,3
dsmem_loaded,3,0,1,128,16384,0,0,42,6,56236282,23384704,3432.3903,1427.2891,2.4048,128,4
dsmem_loaded,3,0,1,128,16384,0,0,42,6,56236282,23384704,3432.3903,1427.2891,2.4048,128,5
dsmem_loaded,3,0,1,128,16384,0,0,42,6,56236282,23384704,3432.3903,1427.2891,2.4048,128,6
dsmem_loaded,3,0,1,128,16384,0,0,42,6,56236282,23384704,3432.3903,1427.2891,2.4048,128,7
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,0
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,1
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,2
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,3
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,4
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,5
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,6
dsmem_loaded,3,0,1,128,16384,0,0,42,7,56236282,23384448,3432.3903,1427.2734,2.4049,128,7
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384480,3432.3903,1427.2754,2.4049,128,0
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384448,3432.3903,1427.2734,2.4049,128,1
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384480,3432.3903,1427.2754,2.4049,128,2
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384448,3432.3903,1427.2734,2.4049,128,3
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384480,3432.3903,1427.2754,2.4049,128,4
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384448,3432.3903,1427.2734,2.4049,128,5
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384448,3432.3903,1427.2734,2.4049,128,6
dsmem_loaded,3,0,1,128,16384,0,0,42,8,56236282,23384480,3432.3903,1427.2754,2.4049,128,7
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384416,3432.3903,1427.2715,2.4049,128,0
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384384,3432.3903,1427.2695,2.4049,128,1
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384384,3432.3903,1427.2695,2.4049,128,2
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384384,3432.3903,1427.2695,2.4049,128,3
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384416,3432.3903,1427.2715,2.4049,128,4
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384384,3432.3903,1427.2695,2.4049,128,5
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384416,3432.3903,1427.2715,2.4049,128,6
dsmem_loaded,3,0,1,128,16384,0,0,42,9,56236282,23384384,3432.3903,1427.2695,2.4049,128,7
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384384,3432.3903,1427.2695,2.4049,128,0
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384384,3432.3903,1427.2695,2.4049,128,1
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384384,3432.3903,1427.2695,2.4049,128,2
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384384,3432.3903,1427.2695,2.4049,128,3
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384384,3432.3903,1427.2695,2.4049,128,4
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384352,3432.3903,1427.2676,2.4049,128,5
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384352,3432.3903,1427.2676,2.4049,128,6
dsmem_loaded,3,0,1,128,16384,0,0,42,10,56236282,23384384,3432.3903,1427.2695,2.4049,128,7
