# command: ./latency-many-threads --target remote --requesters 4 --chasers 256 --reps 11 --steps 16384
# gpu: NVIDIA GB10
# compute_capability: 12.1
# sm_count: 48
# l2_bytes: 25165824
# sm_clock_max_khz: 2418000
# driver_version: 13000
# runtime_version: 13000
# seed: 42
# reps: 11
# steps: 16384
# warmup: 1
# buffer_elems: 4096
# stride_bytes: 0
# cycle_length: 4096
# chasers: 256
# requesters: 4
# target: remote
# bank_aligned: 1
# warps_per_requester: 8
benchmark,cluster_size,distance,mapped,block_size,steps,buffer_bytes,stride_bytes,seed,rep,cycles,ns,cycles_per_load,ns_per_load,ghz,chasers,warp
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,0
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,1
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,2
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,3
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,4
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,5
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,6
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,7
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,8
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,9
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,10
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,11
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,12
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,13
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,14
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,15
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,16
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,17
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,18
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,19
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,20
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,21
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,22
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,23
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,24
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,25
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,26
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,27
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494048,13723.1481,5706.4238,2.4049,256,28
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,29
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,30
dsmem_loaded,5,0,1,256,16384,0,0,42,0,224840058,93494080,13723.1481,5706.4258,2.4049,256,31
